Date,Time,Item,Quantity,Unit Price,Total Price,Payment Method,Staff
2025-05-11,11:30,Veggie Supreme,3,8.49,25.47,Cash,Chris
2025-05-26,18:57,Tandoori Paneer,5,9.25,46.25,Online Payment,Taylor
2025-05-14,16:07,BBQ Chicken,3,9.49,28.47,Card,Chris
2025-05-16,22:06,Soft Drink,1,1.99,1.99,Online Payment,Taylor
2025-05-14,11:31,Cheese Burst,5,7.99,39.95,Cash,Alex
2025-05-21,21:50,Hawaiian,4,8.99,35.96,Card,Alex
2025-05-12,19:30,Soft Drink,4,1.99,7.96,Online Payment,Sam
2025-05-30,19:25,Soft Drink,2,1.99,3.98,Card,Sam
2025-05-26,10:46,Stuffed Crust,5,9.99,49.95,Cash,Jess
2025-05-01,15:56,Margherita,1,6.99,6.99,Online Payment,Taylor
2025-05-19,20:47,Garlic Bread,3,4.99,14.97,Cash,Jess
2025-05-16,13:18,Margherita,5,6.99,34.95,Card,Chris
2025-05-28,17:13,Stuffed Crust,2,9.99,19.98,Cash,Alex
2025-05-29,18:04,Chicken Wings,4,5.99,23.96,Card,Alex
2025-05-30,21:57,BBQ Chicken,3,9.49,28.47,Card,Sam
2025-05-05,14:56,Tandoori Paneer,5,9.25,46.25,Cash,Jess
2025-05-29,13:22,BBQ Chicken,1,9.49,9.49,Cash,Sam
2025-05-04,17:22,Garlic Bread,5,4.99,24.95,Cash,Chris
2025-05-07,12:03,BBQ Chicken,3,9.49,28.47,Online Payment,Jess
2025-05-12,10:55,Pepperoni,1,8.99,8.99,Online Payment,Sam
2025-05-02,20:28,Hawaiian,3,8.99,26.97,Card,Chris
2025-05-28,14:40,BBQ Chicken,5,9.49,47.45,Cash,Alex
2025-05-18,13:27,Chicken Wings,1,5.99,5.99,Cash,Sam
2025-05-07,20:45,Veggie Supreme,3,8.49,25.47,Cash,Sam
2025-05-29,19:04,BBQ Chicken,5,9.49,47.45,Online Payment,Alex
2025-05-24,10:13,Margherita,3,6.99,20.97,Card,Taylor
2025-05-23,17:26,Tandoori Paneer,2,9.25,18.5,Online Payment,Jess
2025-05-11,11:59,Hawaiian,1,8.99,8.99,Card,Taylor
2025-05-27,19:07,Veggie Supreme,2,8.49,16.98,Cash,Sam
2025-05-15,17:52,Stuffed Crust,3,9.99,29.97,Online Payment,Jess
2025-05-13,12:19,Soft Drink,2,1.99,3.98,Card,Alex
2025-05-06,15:23,Pepperoni,5,8.99,44.95,Online Payment,Chris
2025-05-07,13:27,Soft Drink,3,1.99,5.97,Card,Jess
2025-05-13,12:25,Hawaiian,5,8.99,44.95,Online Payment,Jess
2025-05-24,12:16,Garlic Bread,4,4.99,19.96,Online Payment,Jess
2025-05-05,11:49,Margherita,5,6.99,34.95,Online Payment,Alex
2025-05-28,12:02,Stuffed Crust,2,9.99,19.98,Cash,Sam
2025-05-01,15:40,BBQ Chicken,1,9.49,9.49,Cash,Alex
2025-05-03,15:06,Hawaiian,3,8.99,26.97,Cash,Taylor
2025-05-14,17:28,Cheese Burst,1,7.99,7.99,Online Payment,Jess
2025-05-01,10:51,Margherita,3,6.99,20.97,Card,Sam
2025-05-10,21:34,Cheese Burst,4,7.99,31.96,Cash,Taylor
2025-05-22,10:23,Margherita,1,6.99,6.99,Online Payment,Jess
2025-05-02,17:06,Cheese Burst,5,7.99,39.95,Cash,Sam
2025-05-08,19:11,Veggie Supreme,3,8.49,25.47,Online Payment,Alex
2025-05-13,10:43,Tandoori Paneer,2,9.25,18.5,Cash,Taylor
2025-05-07,16:09,Chicken Wings,2,5.99,11.98,Card,Jess
2025-05-06,15:32,BBQ Chicken,1,9.49,9.49,Card,Jess
2025-05-31,15:18,Garlic Bread,3,4.99,14.97,Card,Chris
2025-05-30,22:44,Garlic Bread,5,4.99,24.95,Cash,Taylor
2025-05-02,12:10,Garlic Bread,3,4.99,14.97,Online Payment,Chris
2025-05-23,11:30,Chicken Wings,5,5.99,29.95,Cash,Chris
2025-05-17,18:21,Tandoori Paneer,3,9.25,27.75,Online Payment,Sam
2025-05-08,13:31,Cheese Burst,4,7.99,31.96,Online Payment,Chris
2025-05-07,10:23,Choco Lava Cake,4,3.49,13.96,Online Payment,Jess
2025-05-05,13:04,Soft Drink,5,1.99,9.95,Cash,Jess
2025-05-17,18:53,BBQ Chicken,4,9.49,37.96,Card,Jess
2025-05-21,18:22,BBQ Chicken,2,9.49,18.98,Online Payment,Taylor
2025-05-06,10:29,Chicken Wings,4,5.99,23.96,Cash,Taylor
2025-05-01,17:01,Stuffed Crust,3,9.99,29.97,Online Payment,Jess
2025-05-06,12:58,Tandoori Paneer,4,9.25,37.0,Cash,Alex
2025-05-18,22:00,Stuffed Crust,4,9.99,39.96,Cash,Jess
2025-05-07,15:29,Margherita,5,6.99,34.95,Cash,Chris
2025-05-04,12:14,Soft Drink,3,1.99,5.97,Online Payment,Chris
2025-05-04,13:51,Tandoori Paneer,5,9.25,46.25,Cash,Sam
2025-05-23,22:41,Choco Lava Cake,4,3.49,13.96,Online Payment,Sam
2025-05-05,20:28,Stuffed Crust,2,9.99,19.98,Online Payment,Sam
2025-05-08,10:26,BBQ Chicken,2,9.49,18.98,Online Payment,Jess
2025-05-15,13:29,BBQ Chicken,2,9.49,18.98,Cash,Taylor
2025-05-29,19:01,Veggie Supreme,5,8.49,42.45,Card,Taylor
2025-05-25,16:19,Choco Lava Cake,3,3.49,10.47,Card,Sam
